instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
3,4,10,BackTracking,U,2.662499900907278e-05,{}
4,4,10,BackTracking,S,1.3416050933301449e-05,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BackTracking,S,1.3750046491622925e-05,"{1: False, 2: False, 3: True, 4: True}"
