instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
41,18,36,BestCase,U,0.0023603750159963965,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: False, 12: True, 13: True, 14: False, 15: False, 16: False, 17: False, 18: False}"
42,18,36,BestCase,U,0.00129258306697011,"{1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: False, 9: False, 10: True, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False}"
43,18,36,BestCase,U,0.0002970000496134162,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False}"
44,18,36,BestCase,U,0.004748374922201037,"{1: True, 2: True, 3: True, 4: False, 5: False, 6: False, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: True, 14: False, 15: False, 16: False, 17: False, 18: False}"
45,18,36,BestCase,U,0.0005032080225646496,"{1: False, 2: True, 3: False, 4: False, 5: False, 6: False, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False}"
46,18,36,BestCase,U,0.005851916968822479,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: False, 12: True, 13: True, 14: False, 15: False, 16: True, 17: True, 18: False}"
47,18,36,BestCase,U,0.01002654095645994,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: True, 11: False, 12: False, 13: True, 14: False, 15: False, 16: False, 17: True, 18: False}"
48,18,36,BestCase,S,0.00013925007078796625,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: False, 9: True, 10: True, 11: False, 12: False, 13: True, 14: False, 15: True, 16: False, 17: False, 18: False}"
49,18,36,BestCase,U,0.005274583003483713,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False, 13: True, 14: False, 15: False, 16: False, 17: False, 18: False}"
50,18,36,BestCase,S,0.0004731660010293126,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: False, 8: False, 9: True, 10: True, 11: True, 12: True, 13: False, 14: False, 15: True, 16: True, 17: False, 18: False}"
51,20,40,BestCase,U,0.0192294999724254,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: False, 9: False, 10: True, 11: True, 12: True, 13: True, 14: True, 15: False, 16: False, 17: False, 18: True, 19: True, 20: False}"
52,20,40,BestCase,U,0.01849495805799961,"{1: True, 2: True, 3: True, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: True, 12: True, 13: True, 14: True, 15: False, 16: True, 17: False, 18: False, 19: False, 20: False}"
53,20,40,BestCase,S,0.0013110419968143106,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: False, 9: False, 10: False, 11: True, 12: False, 13: True, 14: False, 15: True, 16: False, 17: True, 18: True, 19: True, 20: True}"
54,20,40,BestCase,U,0.01476516597904265,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: False, 11: False, 12: True, 13: False, 14: True, 15: True, 16: False, 17: True, 18: True, 19: False, 20: False}"
55,20,40,BestCase,U,0.0036451249616220593,"{1: False, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: False, 11: True, 12: False, 13: False, 14: True, 15: True, 16: True, 17: True, 18: True, 19: False, 20: False}"
56,20,40,BestCase,U,0.05107516597490758,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: False, 9: True, 10: False, 11: True, 12: True, 13: False, 14: True, 15: False, 16: True, 17: False, 18: False, 19: False, 20: False}"
57,20,40,BestCase,U,0.007305000093765557,"{1: False, 2: True, 3: True, 4: False, 5: False, 6: True, 7: True, 8: True, 9: False, 10: True, 11: True, 12: False, 13: True, 14: True, 15: False, 16: True, 17: False, 18: True, 19: False, 20: False}"
58,20,40,BestCase,S,0.0012509999796748161,"{1: True, 2: True, 3: False, 4: False, 5: False, 6: True, 7: False, 8: True, 9: False, 10: False, 11: False, 12: True, 13: False, 14: True, 15: True, 16: True, 17: True, 18: True, 19: True, 20: False}"
59,20,40,BestCase,U,0.0007133340695872903,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False, 19: False, 20: False}"
