instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
61,22,44,BruteForce,S,1.6911781249800697,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: False, 9: True, 10: False, 11: True, 12: False, 13: True, 14: False, 15: False, 16: False, 17: False, 18: False, 19: True, 20: True, 21: False, 22: False}"
62,22,44,BruteForce,U,1.9625588749768212,{}
63,22,44,BruteForce,U,2.024212250020355,{}
64,22,44,BruteForce,U,1.8293790000025183,{}
65,22,44,BruteForce,U,2.208875334006734,{}
66,22,44,BruteForce,U,2.0759973750682548,{}
67,22,44,BruteForce,U,2.329401583992876,{}
68,22,44,BruteForce,U,2.1414372080471367,{}
69,22,44,BruteForce,U,2.1119214170612395,{}
70,22,44,BruteForce,U,1.9675952080870047,{}
71,24,48,BruteForce,S,1.7618542079580948,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: True, 10: False, 11: False, 12: False, 13: False, 14: True, 15: False, 16: True, 17: False, 18: True, 19: True, 20: False, 21: False, 22: False, 23: False, 24: False}"
72,24,48,BruteForce,U,8.871899374993518,{}
73,24,48,BruteForce,U,8.362449208972976,{}
74,24,48,BruteForce,S,3.705085749970749,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: False, 8: True, 9: False, 10: False, 11: False, 12: False, 13: False, 14: True, 15: False, 16: False, 17: False, 18: False, 19: True, 20: False, 21: True, 22: False, 23: True, 24: True}"
75,24,48,BruteForce,U,9.948180167004466,{}
76,24,48,BruteForce,U,8.100142083014362,{}
77,24,48,BruteForce,U,8.522947959019803,{}
78,24,48,BruteForce,U,8.248145709047094,{}
79,24,48,BruteForce,U,8.52375779103022,{}
80,24,48,BruteForce,S,2.0585125839570537,"{1: False, 2: False, 3: True, 4: True, 5: True, 6: False, 7: False, 8: True, 9: False, 10: True, 11: True, 12: False, 13: False, 14: True, 15: True, 16: True, 17: False, 18: True, 19: False, 20: False, 21: False, 22: False, 23: False, 24: True}"
81,4,20,BruteForce,U,2.9250048100948334e-05,{}
82,4,20,BruteForce,S,1.0499963536858559e-05,"{1: True, 2: False, 3: False, 4: False}"
83,4,20,BruteForce,S,9.458046406507492e-06,"{1: False, 2: True, 3: True, 4: False}"
84,4,20,BruteForce,S,1.8874998204410076e-05,"{1: True, 2: True, 3: True, 4: False}"
85,4,20,BruteForce,U,1.9125058315694332e-05,{}
86,4,20,BruteForce,S,1.625006552785635e-05,"{1: True, 2: True, 3: False, 4: True}"
87,4,20,BruteForce,U,1.462490763515234e-05,{}
88,4,20,BruteForce,U,1.3999990187585354e-05,{}
89,4,20,BruteForce,U,1.595797948539257e-05,{}
90,4,20,BruteForce,S,1.383305061608553e-05,"{1: True, 2: False, 3: True, 4: False}"
91,8,40,BruteForce,S,9.524996858090162e-05,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: False, 7: False, 8: True}"
92,8,40,BruteForce,S,1.4457968063652515e-05,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: False, 7: False, 8: False}"
93,8,40,BruteForce,S,0.0001569580053910613,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False}"
94,8,40,BruteForce,U,0.0003202080260962248,{}
95,8,40,BruteForce,U,0.0001972919562831521,{}
96,8,40,BruteForce,U,0.00022412498947232962,{}
97,8,40,BruteForce,U,0.0002199169248342514,{}
98,8,40,BruteForce,U,0.00024274992756545544,{}
99,8,40,BruteForce,U,0.0001717499690130353,{}
100,8,40,BruteForce,U,0.00023224996402859688,{}
101,12,60,BruteForce,U,0.003768083988688886,{}
102,12,60,BruteForce,S,0.00041291711386293173,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
103,12,60,BruteForce,U,0.003765417030081153,{}
104,12,60,BruteForce,S,0.002072541043162346,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: False, 7: False, 8: True, 9: True, 10: False, 11: False, 12: False}"
105,12,60,BruteForce,U,0.0035272500244900584,{}
106,12,60,BruteForce,U,0.0037002089666202664,{}
107,12,60,BruteForce,U,0.0036834169877693057,{}
108,12,60,BruteForce,U,0.003901874995790422,{}
109,12,60,BruteForce,S,0.0018421250861138105,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: True, 11: False, 12: False}"
110,12,60,BruteForce,U,0.003889000043272972,{}
111,16,80,BruteForce,U,0.06205204199068248,{}
112,16,80,BruteForce,S,0.018694375059567392,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: False, 10: True, 11: False, 12: True, 13: False, 14: True, 15: True, 16: True}"
113,16,80,BruteForce,U,0.05895450001116842,{}
114,16,80,BruteForce,U,0.05948820896446705,{}
115,16,80,BruteForce,U,0.054918959038332105,{}
116,16,80,BruteForce,U,0.061600208980962634,{}
117,16,80,BruteForce,U,0.06267966702580452,{}
118,16,80,BruteForce,U,0.054346750024706125,{}
119,16,80,BruteForce,U,0.058756208047270775,{}
120,16,80,BruteForce,S,0.003755040932446718,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False, 9: False, 10: True, 11: True, 12: True, 13: True, 14: False, 15: True, 16: True}"
121,18,90,BruteForce,U,0.23802575003355742,{}
122,18,90,BruteForce,U,0.23397925007157028,{}
123,18,90,BruteForce,U,0.26538829202763736,{}
124,18,90,BruteForce,U,0.23666879103984684,{}
125,18,90,BruteForce,U,0.23417120799422264,{}
126,18,90,BruteForce,S,0.031521334080025554,"{1: False, 2: False, 3: True, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: False, 11: True, 12: False, 13: True, 14: False, 15: False, 16: True, 17: True, 18: False}"
127,18,90,BruteForce,S,0.015754041960462928,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: True, 13: False, 14: False, 15: False, 16: False, 17: False, 18: True}"
128,18,90,BruteForce,S,0.14766462508123368,"{1: True, 2: False, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: True, 14: True, 15: False, 16: True, 17: True, 18: True}"
129,18,90,BruteForce,U,0.21580458397511393,{}
130,18,90,BruteForce,S,0.11639450001530349,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: False, 11: True, 12: False, 13: False, 14: False, 15: True, 16: False, 17: True, 18: False}"
131,20,100,BruteForce,S,0.7797517919680104,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: False, 11: True, 12: True, 13: False, 14: False, 15: False, 16: True, 17: True, 18: True, 19: False, 20: True}"
132,20,100,BruteForce,U,0.8214337079552934,{}
133,20,100,BruteForce,S,0.4747486669803038,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: True, 10: False, 11: False, 12: False, 13: True, 14: True, 15: False, 16: True, 17: False, 18: False, 19: False, 20: False}"
134,20,100,BruteForce,U,0.9447903749532998,{}
135,20,100,BruteForce,S,0.8250152500113472,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: False, 8: True, 9: True, 10: True, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False, 17: True, 18: True, 19: False, 20: True}"
136,20,100,BruteForce,U,0.8533434170531109,{}
137,20,100,BruteForce,U,0.9704369580140337,{}
138,20,100,BruteForce,S,0.4009516249643639,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True, 10: False, 11: True, 12: False, 13: True, 14: True, 15: True, 16: True, 17: True, 18: True, 19: True, 20: True}"
139,20,100,BruteForce,U,0.8966712090186775,{}
140,20,100,BruteForce,U,0.9690058330306783,{}
141,22,110,BruteForce,S,3.40188445802778,"{1: True, 2: True, 3: True, 4: False, 5: False, 6: True, 7: False, 8: False, 9: True, 10: True, 11: True, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: True, 19: False, 20: False, 21: False, 22: True}"
142,22,110,BruteForce,S,0.303043375024572,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: False, 7: True, 8: True, 9: False, 10: True, 11: True, 12: False, 13: False, 14: True, 15: False, 16: False, 17: False, 18: False, 19: True, 20: False, 21: True, 22: True}"
143,22,110,BruteForce,U,3.9751651249825954,{}
144,22,110,BruteForce,U,3.6235790830105543,{}
145,22,110,BruteForce,U,3.5381782499607652,{}
146,22,110,BruteForce,U,3.62475604203064,{}
147,22,110,BruteForce,U,4.422769000055268,{}
148,22,110,BruteForce,U,3.979479916044511,{}
149,22,110,BruteForce,S,3.2639834170695394,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: True, 7: False, 8: False, 9: False, 10: True, 11: True, 12: False, 13: False, 14: True, 15: False, 16: True, 17: True, 18: True, 19: False, 20: False, 21: False, 22: False}"
150,22,110,BruteForce,S,0.48777866701129824,"{1: False, 2: False, 3: True, 4: False, 5: False, 6: True, 7: False, 8: True, 9: False, 10: False, 11: True, 12: True, 13: True, 14: True, 15: False, 16: True, 17: False, 18: True, 19: False, 20: False, 21: False, 22: False}"
151,24,120,BruteForce,U,15.634635458001867,{}
152,24,120,BruteForce,U,12.700191957992502,{}
153,24,120,BruteForce,U,14.999681249959394,{}
154,24,120,BruteForce,U,14.434702791972086,{}
155,24,120,BruteForce,U,16.667525375029072,{}
156,24,120,BruteForce,U,12.884406625060365,{}
157,24,120,BruteForce,U,14.73002545896452,{}
158,24,120,BruteForce,U,16.6914981250884,{}
159,24,120,BruteForce,U,16.210713334032334,{}
160,24,120,BruteForce,U,14.347302666981705,{}
161,4,40,BruteForce,S,4.316703416407108e-05,"{1: True, 2: True, 3: True, 4: False}"
162,4,40,BruteForce,U,2.1332991309463978e-05,{}
163,4,40,BruteForce,U,2.033403143286705e-05,{}
164,4,40,BruteForce,S,1.4290912076830864e-05,"{1: False, 2: True, 3: False, 4: True}"
165,4,40,BruteForce,S,2.7499976567924023e-05,"{1: True, 2: True, 3: False, 4: True}"
166,4,40,BruteForce,S,7.999944500625134e-06,"{1: False, 2: False, 3: False, 4: True}"
167,4,40,BruteForce,S,1.0624993592500687e-05,"{1: False, 2: False, 3: True, 4: False}"
168,4,40,BruteForce,S,2.5165965780615807e-05,"{1: True, 2: True, 3: False, 4: False}"
169,4,40,BruteForce,S,2.8542010113596916e-05,"{1: True, 2: True, 3: True, 4: True}"
170,4,40,BruteForce,S,1.2834090739488602e-05,"{1: False, 2: True, 3: False, 4: False}"
171,8,80,BruteForce,S,0.00022924994118511677,"{1: False, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False}"
172,8,80,BruteForce,S,0.000311249983496964,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: False, 7: False, 8: False}"
173,8,80,BruteForce,S,7.30419997125864e-05,"{1: False, 2: False, 3: True, 4: False, 5: True, 6: False, 7: True, 8: False}"
174,8,80,BruteForce,S,0.0002837090287357569,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: True, 7: False, 8: False}"
175,8,80,BruteForce,S,0.00018574995920062065,"{1: False, 2: True, 3: True, 4: False, 5: False, 6: True, 7: True, 8: True}"
176,8,80,BruteForce,U,0.0004634170327335596,{}
177,8,80,BruteForce,U,0.00037058291491121054,{}
178,8,80,BruteForce,S,0.000513582956045866,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True}"
179,8,80,BruteForce,U,0.0004255410749465227,{}
180,8,80,BruteForce,U,0.00043575000017881393,{}
181,12,120,BruteForce,S,0.0003242919920012355,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True, 9: False, 10: True, 11: False, 12: True}"
182,12,120,BruteForce,S,0.0031386250630021095,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True, 10: True, 11: False, 12: True}"
183,12,120,BruteForce,S,0.0017608749913051724,"{1: False, 2: False, 3: True, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
184,12,120,BruteForce,U,0.007660875096917152,{}
185,12,120,BruteForce,S,0.0011057499796152115,"{1: False, 2: False, 3: True, 4: False, 5: False, 6: False, 7: False, 8: True, 9: False, 10: True, 11: False, 12: True}"
186,12,120,BruteForce,S,0.0006514169508591294,"{1: False, 2: False, 3: False, 4: True, 5: False, 6: True, 7: False, 8: False, 9: False, 10: False, 11: True, 12: False}"
187,12,120,BruteForce,U,0.005201665917411447,{}
188,12,120,BruteForce,U,0.007811332936398685,{}
189,12,120,BruteForce,U,0.006474542082287371,{}
190,12,120,BruteForce,U,0.00590999994892627,{}
191,16,160,BruteForce,S,0.02244437497574836,"{1: False, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: True, 10: True, 11: False, 12: False, 13: False, 14: True, 15: True, 16: False}"
192,16,160,BruteForce,U,0.1687767499824986,{}
193,16,160,BruteForce,U,0.13354112510569394,{}
194,16,160,BruteForce,S,0.014841832919046283,"{1: False, 2: False, 3: False, 4: True, 5: True, 6: True, 7: False, 8: False, 9: True, 10: True, 11: False, 12: True, 13: True, 14: False, 15: True, 16: False}"
195,16,160,BruteForce,S,0.08042300003580749,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: False, 12: True, 13: False, 14: False, 15: False, 16: True}"
196,16,160,BruteForce,U,0.10871041705831885,{}
197,16,160,BruteForce,U,0.11552729201503098,{}
198,16,160,BruteForce,U,0.1001653749262914,{}
199,16,160,BruteForce,S,0.027379666920751333,"{1: False, 2: True, 3: False, 4: False, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: True, 12: True, 13: True, 14: False, 15: True, 16: False}"
200,16,160,BruteForce,S,0.01158674992620945,"{1: False, 2: False, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False}"
201,18,180,BruteForce,S,0.2549521659966558,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True, 10: True, 11: True, 12: False, 13: True, 14: True, 15: False, 16: True, 17: False, 18: False}"
202,18,180,BruteForce,U,0.52420816605445,{}
203,18,180,BruteForce,S,0.010325749986805022,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: True, 7: False, 8: True, 9: True, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: True, 17: True, 18: True}"
204,18,180,BruteForce,U,0.4717488749884069,{}
205,18,180,BruteForce,U,0.4947124159662053,{}
206,18,180,BruteForce,S,0.27135225001256913,"{1: True, 2: False, 3: True, 4: False, 5: False, 6: False, 7: True, 8: False, 9: True, 10: True, 11: True, 12: False, 13: False, 14: False, 15: True, 16: False, 17: True, 18: False}"
207,18,180,BruteForce,U,0.41569312498904765,{}
208,18,180,BruteForce,S,0.021088332985527813,"{1: False, 2: False, 3: False, 4: False, 5: True, 6: True, 7: False, 8: True, 9: False, 10: True, 11: False, 12: False, 13: False, 14: False, 15: True, 16: True, 17: True, 18: False}"
209,18,180,BruteForce,U,0.4196499160025269,{}
210,18,180,BruteForce,U,0.4574099590536207,{}
